phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
after,https://prompts.robertdevore.com/about/,1,19,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/business/,1,19,11,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/coding/,1,19,11,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/contact/,1,19,11,3,no,no,0,0,yes,
after,https://prompts.robertdevore.com/images/,1,19,18,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/marketing/,1,19,11,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/writing/,1,19,11,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,2,3,12,3,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,2,4,12,4,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,1,4,12,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/,0,2,19,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/,2,3,19,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/page/2/,1,2,15,2,no,no,0,0,yes,
after,https://prompts.robertdevore.com/blog/page/2/,3,2,15,2,no,no,0,0,yes,
