phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,https://prompts.robertdevore.com/assets/images/glowing-3d-icons.webp,Glowing Neon Icon Example,yes,no,1024,1024,,webp,yes,42922,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,https://prompts.robertdevore.com/assets/images/isometric-3d-icons.webp,Isometric 3D icon Designs,yes,no,2044,1024,,webp,yes,69352,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-demon.webp,Cyber Demon,yes,no,1024,1024,,webp,yes,67318,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-wolf.webp,Tech Wolf,yes,no,1024,1024,,webp,yes,64742,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,https://prompts.robertdevore.com/assets/images/metallic-sci-fi-hud-lion.webp,Tech Lion,yes,no,1024,1024,,webp,yes,81840,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-scene.webp,WWF Simpsons Scene,yes,no,1536,1024,,webp,yes,139468,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,https://prompts.robertdevore.com/assets/images/simpsons-wwf-robert-devore.webp,WWF Robert DeVore,yes,no,1024,1536,,webp,yes,67320,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-wolf-pack.webp,Wolf Pack patch,yes,no,1024,1024,,webp,yes,377238,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-1.webp,Patch 1,yes,no,1024,1024,,webp,yes,266758,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-2.webp,Patch 2,yes,no,1024,1024,,webp,yes,281820,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-3.webp,Patch 3,yes,no,1024,1024,,webp,yes,208040,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,https://prompts.robertdevore.com/assets/images/patch-4.webp,Patch 4,yes,no,1024,1024,,webp,yes,229160,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-with-json-prompts.webp,YouTube Thumbnails with JSON Prompts,yes,no,1536,1024,,webp,yes,226948,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-extreme-leadership.webp,YouTube Thumbnails with JSON Prompts Extreme Leadership Example,yes,no,1536,1024,,webp,yes,158886,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,https://prompts.robertdevore.com/assets/images/youtube-thumbnails-10k.webp,YouTube Thumbnails with JSON Prompts 10K Example,yes,no,1536,1024,,webp,yes,164856,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/glowing-3d-icons-5d4610cb0e6a.webp,Featured image for Glowing Neon Icons: Design Bold Icons with This JSON Prompt,yes,no,1024,1024,lazy,webp,yes,42922,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/isometric-3d-icons-7966d482c18d.webp,Featured image for Isometric 3D Icon JSON Prompt for AI-Generated Designs,yes,no,2044,1024,lazy,webp,yes,69352,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/patch-wolf-pack-cdfba07eb89a.webp,Featured image for Top Secret Military Patch JSON Prompts for AI-Generated Designs,yes,no,1024,1024,lazy,webp,yes,377238,
after,https://prompts.robertdevore.com/,https://prompts.robertdevore.com/images/metallic-sci-fi-hud-demon-3afc8265657b.webp,Featured image for Metallic Sci-Fi HUD: Create Powerful Futuristic Icons with This JSON Prompt,yes,no,1024,1024,lazy,webp,yes,67318,
