phase,url,local_status,production_status,indexable,robots_directives,canonical,canonical_target_status,sitemap_included,sitemap_lastmod,reason
after,https://prompts.robertdevore.com/about/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/about/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/business/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/business/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/coding/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/coding/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/contact/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/contact/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/images/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/images/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/marketing/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/marketing/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/writing/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/writing/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,yes,2025-05-19,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,yes,2025-05-15,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,yes,2025-04-27,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,yes,2025-04-07,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,yes,2025-04-11,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,yes,2025-05-13,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,200,yes,2025-04-09,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,yes,2025-04-22,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/page/2/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/page/2/,200,yes,,"canonical sitemap URL with index,follow"
after,https://prompts.robertdevore.com/blog/page/2/,200,200,yes,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/page/2/,200,yes,,"canonical sitemap URL with index,follow"
