phase,url,schema_types,json_ld_blocks,valid_json,visible_match,rich_result_eligible,issues,recommended_action
after,https://prompts.robertdevore.com/about/,AboutPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/business/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/coding/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/contact/,ContactPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/images/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/marketing/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/writing/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/wwf-action-figure-blister-pack-json-prompt/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,BlogPosting,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/,WebSite,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/page/2/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
after,https://prompts.robertdevore.com/blog/page/2/,CollectionPage,1,yes,reviewed; no hidden claims observed,BlogPosting pages: Article-compatible; other types are semantic/site-name signals,,
