phase,url,local_status,production_status,internal_inbound_links,page_depth,orphan,broken_internal_links,issues
baseline,https://prompts.robertdevore.com/about/,200,200,36,1,false,0,
baseline,https://prompts.robertdevore.com/business/,200,200,18,1,false,0,
baseline,https://prompts.robertdevore.com/coding/,200,200,18,1,false,0,
baseline,https://prompts.robertdevore.com/contact/,200,200,39,1,false,0,
baseline,https://prompts.robertdevore.com/images/,200,200,18,1,false,0,
baseline,https://prompts.robertdevore.com/marketing/,200,200,18,1,false,0,
baseline,https://prompts.robertdevore.com/writing/,200,200,18,1,false,0,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,200,6,2,false,0,
baseline,https://prompts.robertdevore.com/,200,200,2,0,false,0,
baseline,https://prompts.robertdevore.com/blog/,200,200,3,1,false,0,
baseline,https://prompts.robertdevore.com/page/2/,200,200,2,2,false,0,
baseline,https://prompts.robertdevore.com/blog/page/2/,200,200,2,3,false,0,
after,https://prompts.robertdevore.com/about/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/business/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/coding/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/contact/,200,200,45,1,false,0,
after,https://prompts.robertdevore.com/images/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/marketing/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/writing/,200,200,42,1,false,0,
after,https://prompts.robertdevore.com/blog/brutally-honest-company-product-diagnostic/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/dependabot-security-maintenance-agent/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/keyword-competitor-content-analysis/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,200,6,2,false,0,
after,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,200,9,2,false,0,
after,https://prompts.robertdevore.com/,200,200,2,0,false,0,
after,https://prompts.robertdevore.com/blog/,200,200,3,1,false,0,
after,https://prompts.robertdevore.com/page/2/,200,200,2,2,false,0,
after,https://prompts.robertdevore.com/blog/page/2/,200,200,2,3,false,0,
