phase,crawler,crawler_class,url,status,final_url,content_type,robots_policy,verification,issues
baseline,Googlebot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,Googlebot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,Googlebot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
baseline,Bingbot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,Bingbot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,Bingbot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
baseline,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
baseline,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
baseline,GPTBot,training,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,GPTBot,training,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,GPTBot,training,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
baseline,PerplexityBot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
baseline,PerplexityBot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
baseline,PerplexityBot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,Googlebot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,Googlebot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,Googlebot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,Bingbot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,Bingbot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,Bingbot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,OAI-SearchBot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,ChatGPT-User,user-triggered,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,GPTBot,training,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,GPTBot,training,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,GPTBot,training,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
after,PerplexityBot,search/indexing,https://prompts.robertdevore.com/robots.txt,200,https://prompts.robertdevore.com/robots.txt,text/plain,Allow: /,accessible,
after,PerplexityBot,search/indexing,https://prompts.robertdevore.com/,200,https://prompts.robertdevore.com/,text/html,tested separately,accessible,
after,PerplexityBot,search/indexing,https://prompts.robertdevore.com/writing/,200,https://prompts.robertdevore.com/writing/,text/html,tested separately,accessible,
