phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://prompts.robertdevore.com/about/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/about/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/business/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/business/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/coding/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/coding/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/contact/,https://x.com/deviorobert,@deviorobert,body,200,https://x.com/deviorobert,0,verified,,
baseline,https://prompts.robertdevore.com/contact/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/contact/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/images/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/images/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/marketing/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/marketing/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/writing/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/writing/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,https://robertdevore.com/,Robert DeVore,body,200,https://robertdevore.com/,0,verified,,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,https://kujolang.ai/,Kujo,body,200,https://kujolang.ai/,0,verified,,
