phase,url,production_status,robots_directives,canonical,canonical_status,sitemap_included,indexable,issues
baseline,https://prompts.robertdevore.com/about/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/about/,200,true,true,
baseline,https://prompts.robertdevore.com/business/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/business/,200,true,true,
baseline,https://prompts.robertdevore.com/coding/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/coding/,200,true,true,
baseline,https://prompts.robertdevore.com/contact/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/contact/,200,true,true,
baseline,https://prompts.robertdevore.com/images/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/images/,200,true,true,
baseline,https://prompts.robertdevore.com/marketing/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/marketing/,200,true,true,
baseline,https://prompts.robertdevore.com/writing/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/writing/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/glowing-neon-icon-json-prompt/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/isometric-3d-icon-json-prompt-for-ai-generated-designs/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/metallic-sci-fi-hud/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/prompts-coming-soon/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/simpsons-character-json-prompts-for-ai-generation/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/top-secret-military-patches-json-prompt/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/youtube-thumbnail-generation-with-ai-json-prompts/,200,true,true,
baseline,https://prompts.robertdevore.com/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/,200,true,true,
baseline,https://prompts.robertdevore.com/blog/,200,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://prompts.robertdevore.com/blog/,200,true,true,
